Latitude,Longitude,Time
47.9012333333,-10.3814166667,2018-09-26T12:50:00Z
47.3601666667,-11.61735,2018-09-26T18:53:00Z
44.9785833333,-13.5893333333,2018-09-27T12:52:00Z
43.8591333333,-14.5084666667,2018-09-27T19:25:00Z
41.9116666667,-16.0363166667,2018-09-28T12:27:00Z
40.7886666667,-16.9052833333,2018-09-28T19:35:00Z
38.63085,-18.5256833333,2018-09-29T12:25:00Z
37.75925,-19.16005,2018-09-29T19:37:00Z
35.3020166667,-20.9152,2018-09-30T13:34:00Z
34.45525,-21.4063,2018-09-30T19:45:00Z
31.9240333333,-22.7101833333,2018-10-01T13:43:00Z
30.7929,-23.2863,2018-10-01T20:40:00Z
28.6090666667,-24.3608333333,2018-10-02T13:43:00Z
27.7641666667,-24.772,2018-10-02T20:42:00Z
25.0576833333,-26.0568,2018-10-03T13:40:00Z
23.95465,-26.5854166667,2018-10-03T20:43:00Z
21.4471666667,-27.7453333333,2018-10-04T13:40:00Z
20.53275,-28.1672,2018-10-04T20:15:00Z
17.7473166667,-28.9302333333,2018-10-05T13:48:00Z
16.5976833333,-28.9623166667,2018-10-05T20:15:00Z
13.8121666667,-28.29455,2018-10-06T13:43:00Z
12.5136333333,-27.9736666667,2018-10-06T20:53:00Z
10.0982333333,-27.2938166667,2018-10-07T13:28:00Z
8.71215,-26.93095,2018-10-07T20:15:00Z
6.25598333333,-26.3799333333,2018-10-08T13:40:00Z
5.20015,-26.14205,2018-10-08T20:23:00Z
1.2023,-24.9905833333,2018-10-09T20:40:00Z
-0.848183333333,-24.9905833333,2018-10-10T13:43:00Z
-1.54153333333,-24.9874166667,2018-10-10T21:15:00Z
-3.01538333333,-24.9732,2018-10-11T13:42:00Z
-5.80903333333,-24.9668166667,2018-10-11T20:43:00Z
-7.23691666667,-24.9484,2018-10-12T13:38:00Z
-8.04206666667,-24.9455,2018-10-12T20:53:00Z
-11.9171833333,-24.9303,2018-10-13T13:31:00Z
-12.7667,-24.9549,2018-10-13T19:43:00Z
-15.9676333333,-25.0235333333,2018-10-14T13:47:00Z
-16.9835166667,-25.05695,2018-10-14T19:56:00Z
-17.4215333333,-25.0864166667,2018-10-15T13:43:00Z
-18.9755666667,-25.0841,2018-10-15T19:58:00Z
-20.3962666667,-25.0464333333,2018-10-16T13:38:00Z
-21.191,-25.0240166667,2018-10-16T19:57:00Z
-23.0941666667,-25.9032666667,2018-10-17T13:38:00Z
-24.3563166667,-26.6774833333,2018-10-17T20:44:00Z
-26.79995,-28.2501833333,2018-10-18T12:30:00Z
-27.8406833333,-29.2277333333,2018-10-18T20:30:00Z
-29.9940833333,-31.1497,2018-10-19T13:44:00Z
-29.2258833333,-31.9649,2018-10-19T20:14:00Z
-31.62715,-33.6741333333,2018-10-20T15:15:00Z
-32.90305,-34.4626833333,2018-10-20T21:26:00Z
-33.4195,-36.0914333333,2018-10-21T15:55:00Z
-34.6765833333,-36.9188166667,2018-10-21T20:25:00Z
-36.98795,-38.8346166667,2018-10-22T13:54:00Z
-36.2639833333,-39.6608,2018-10-22T20:20:00Z
-38.7906666667,-41.4750166667,2018-10-23T14:57:00Z
-38.2994,-42.0862666667,2018-10-23T20:19:00Z
-40.63035,-44.0127333333,2018-10-24T14:55:00Z
-40.0269333333,-44.7278,2018-10-24T19:58:00Z
-42.2095166667,-46.9552166667,2018-10-25T14:51:00Z
-43.5895166667,-47.7503333333,2018-10-25T20:51:00Z
-45.9824666667,-49.8723166667,2018-10-26T15:22:00Z
-45.3669,-50.55475,2018-10-26T20:50:00Z
-47.8011333333,-52.6893666667,2018-10-27T15:51:00Z
